iter	Passed	Remaining
205	1028	3962
206	1032	3956
207	1038	3953
208	1044	3953
209	1050	3950
210	1055	3946
211	1060	3942
212	1065	3936
213	1070	3930
214	1074	3924
215	1079	3918
216	1085	3916
217	1090	3910
218	1094	3903
219	1099	3898
220	1104	3891
221	1108	3884
222	1113	3878
223	1118	3873
224	1123	3871
225	1128	3865
226	1133	3861
227	1139	3858
228	1145	3855
229	1150	3850
230	1154	3844
231	1159	3838
232	1164	3832
233	1169	3826
234	1173	3821
235	1178	3815
236	1183	3809
237	1187	3803
238	1192	3797
239	1197	3792
240	1202	3787
241	1207	3781
242	1211	3775
243	1216	3769
244	1221	3763
245	1226	3758
246	1230	3752
247	1235	3746
248	1240	3740
249	1245	3737
250	1251	3733
251	1257	3731
252	1263	3731
253	1269	3727
254	1274	3723
255	1279	3718
256	1285	3715
257	1290	3710
258	1295	3705
259	1301	3703
260	1306	3698
261	1311	3695
262	1317	3691
263	1322	3686
264	1327	3682
265	1332	3677
266	1337	3671
267	1342	3666
268	1347	3661
269	1352	3656
270	1357	3650
271	1361	3644
272	1366	3639
273	1370	3632
274	1375	3626
275	1380	3621
276	1385	3615
277	1390	3611
278	1396	3608
279	1401	3603
280	1406	3598
281	1411	3594
282	1436	3639
283	1454	3666
284	1462	3669
285	1469	3668
286	1476	3668
287	1485	3672
288	1491	3670
289	1498	3668
290	1505	3668
291	1511	3664
292	1517	3661
293	1526	3665
294	1532	3663
295	1540	3662
296	1550	3669
297	1560	3676
298	1569	3678
299	1576	3678
300	1582	3675
301	1588	3671
302	1594	3668
303	1600	3663
304	1606	3660
305	1612	3657
306	1618	3652
307	1623	3648
308	1630	3646
309	1636	3642
310	1642	3639
311	1648	3635
312	1654	3630
313	1659	3626
314	1666	3624
315	1673	3622
316	1680	3620
317	1687	3618
318	1694	3617
319	1702	3616
320	1709	3616
321	1716	3614
322	1723	3612
323	1730	3610
324	1736	3607
325	1742	3602
326	1751	3605
327	1764	3615
328	1773	3617
329	1783	3621
330	1793	3624
331	1802	3626
332	1810	3627
333	1817	3624
334	1824	3621
335	1830	3617
336	1837	3614
337	1844	3612
338	1851	3609
339	1859	3608
340	1865	3605
341	1872	3602
342	1878	3597
343	1884	3592
344	1890	3589
345	1897	3585
346	1902	3579
347	1907	3573
348	1912	3567
349	1917	3561
350	1922	3554
351	1928	3549
352	1934	3544
353	1941	3542
354	1947	3538
355	1952	3532
356	1958	3527
357	1962	3520
358	1967	3513
359	1972	3506
360	1977	3499
361	1982	3493
362	1987	3487
363	1992	3481
364	1997	3475
365	2003	3469
366	2008	3463
367	2012	3456
368	2017	3450
369	2022	3443
370	2027	3437
371	2032	3430
372	2036	3423
373	2041	3416
374	2046	3410
375	2050	3402
376	2054	3394
377	2059	3388
378	2064	3382
379	2068	3375
380	2073	3369
381	2078	3362
382	2083	3355
383	2087	3349
384	2092	3342
385	2097	3335
386	2101	3329
387	2107	3323
388	2111	3316
389	2116	3310
390	2121	3304
391	2126	3297
392	2131	3291
393	2136	3285
394	2140	3278
395	2144	3270
396	2149	3264
397	2154	3259
398	2159	3253
399	2164	3247
400	2169	3241
401	2174	3235
402	2179	3228
403	2184	3222
404	2190	3218
405	2195	3212
406	2200	3206
407	2206	3201
408	2211	3195
409	2216	3189
410	2222	3184
411	2228	3179
412	2233	3175
413	2239	3170
414	2245	3164
415	2250	3158
416	2255	3153
417	2260	3147
418	2266	3142
419	2272	3138
420	2278	3133
421	2283	3128
422	2289	3123
423	2294	3117
424	2301	3113
425	2306	3108
426	2313	3105
427	2319	3100
428	2324	3094
429	2330	3089
430	2336	3084
431	2342	3079
432	2348	3074
433	2353	3068
434	2357	3062
435	2363	3057
436	2369	3052
437	2374	3046
438	2380	3041
439	2385	3035
440	2390	3029
441	2395	3024
442	2400	3018
443	2404	3011
444	2409	3005
445	2415	2999
446	2419	2993
447	2424	2987
448	2429	2981
449	2433	2974
450	2438	2968
451	2443	2962
452	2448	2956
453	2453	2950
454	2457	2943
455	2461	2936
456	2466	2930
457	2471	2925
458	2477	2919
459	2482	2914
460	2487	2908
461	2492	2902
462	2496	2896
463	2501	2889
464	2505	2882
465	2509	2876
466	2514	2869
467	2518	2862
468	2522	2855
469	2527	2849
470	2531	2843
471	2537	2838
472	2542	2832
473	2547	2826
474	2551	2820
475	2556	2814
476	2562	2809
477	2566	2802
478	2570	2796
479	2575	2790
480	2579	2783
481	2583	2776
482	2587	2770
483	2592	2763
484	2596	2756
485	2600	2750
486	2605	2744
487	2610	2738
488	2614	2732
489	2618	2725
490	2623	2719
491	2627	2712
492	2631	2706
493	2635	2699
494	2640	2693
495	2644	2686
496	2649	2681
497	2653	2675
498	2658	2668
499	2662	2662
500	2666	2656
501	2671	2650
502	2675	2643
503	2679	2637
504	2683	2630
505	2689	2625
506	2693	2619
507	2698	2613
508	2702	2607
509	2707	2601
510	2711	2594
511	2716	2588
512	2720	2582
513	2725	2577
514	2730	2571
515	2735	2565
516	2740	2560
517	2745	2554
518	2750	2549
519	2755	2543
520	2760	2537
521	2765	2532
522	2770	2526
523	2774	2520
524	2778	2514
525	2783	2507
526	2787	2502
527	2792	2496
528	2797	2490
529	2801	2484
530	2805	2478
531	2809	2471
532	2813	2465
533	2817	2458
534	2821	2452
535	2826	2446
536	2830	2440
537	2834	2434
538	2838	2428
539	2842	2421
540	2847	2415
541	2851	2409
542	2863	2409
543	2873	2408
544	2893	2415
545	2901	2412
546	2907	2407
547	2913	2403
548	2922	2400
549	2929	2396
550	3006	2450
551	3015	2447
552	3021	2442
553	3028	2437
554	3034	2432
555	3040	2427
556	3045	2422
557	3051	2416
558	3056	2411
559	3061	2405
560	3066	2399
561	3071	2394
562	3076	2388
563	3081	2382
564	3086	2376
565	3091	2370
566	3096	2364
567	3101	2359
568	3106	2353
569	3111	2347
570	3116	2341
571	3121	2335
572	3125	2329
573	3130	2323
574	3135	2317
575	3139	2311
576	3145	2305
577	3150	2300
578	3154	2293
579	3159	2288
580	3165	2282
581	3170	2276
582	3174	2270
583	3179	2264
584	3184	2258
585	3189	2253
586	3194	2247
587	3199	2241
588	3204	2235
589	3208	2229
590	3213	2223
591	3218	2218
592	3223	2212
593	3228	2206
594	3232	2200
595	3238	2194
596	3243	2189
597	3248	2183
598	3253	2177
599	3258	2172
600	3263	2166
601	3268	2160
602	3273	2154
603	3277	2149
604	3283	2143
605	3288	2137
606	3292	2131
607	3297	2125
608	3301	2119
609	3306	2114
610	3311	2108
611	3315	2102
612	3319	2095
613	3323	2089
614	3328	2083
615	3332	2077
616	3336	2071
617	3340	2065
618	3345	2059
619	3349	2053
620	3354	2047
621	3358	2041
622	3363	2035
623	3367	2029
624	3372	2023
625	3377	2017
626	3381	2011
627	3386	2006
628	3391	2000
629	3395	1994
630	3400	1988
631	3405	1982
632	3410	1977
633	3415	1971
634	3419	1965
635	3423	1959
636	3428	1953
637	3433	1948
638	3438	1942
639	3442	1936
640	3447	1930
641	3452	1925
642	3457	1919
643	3462	1914
644	3467	1908
645	3472	1902
646	3478	1897
647	3483	1892
648	3488	1886
649	3492	1880
650	3496	1874
651	3501	1868
652	3505	1862
653	3509	1856
654	3513	1850
655	3519	1845
656	3524	1840
657	3529	1834
658	3534	1828
659	3539	1823
660	3544	1817
661	3549	1812
662	3554	1806
663	3559	1801
664	3564	1795
665	3568	1789
666	3573	1783
667	3577	1777
668	3581	1772
669	3585	1766
670	3590	1760
671	3594	1754
672	3598	1748
673	3602	1742
674	3607	1736
675	3611	1730
676	3615	1724
677	3619	1719
678	3624	1713
679	3628	1707
680	3633	1701
681	3637	1696
682	3641	1690
683	3646	1684
684	3650	1678
685	3654	1672
686	3659	1667
687	3663	1661
688	3667	1655
689	3672	1649
690	3676	1644
691	3681	1638
692	3685	1632
693	3690	1627
694	3695	1621
695	3699	1616
696	3705	1610
697	3709	1604
698	3714	1599
699	3718	1593
700	3722	1587
701	3727	1582
702	3731	1576
703	3736	1570
704	3740	1565
705	3744	1559
706	3749	1553
707	3753	1548
708	3758	1542
709	3762	1536
710	3766	1531
711	3771	1525
712	3775	1519
713	3780	1514
714	3785	1509
715	3790	1503
716	3795	1498
717	3800	1492
718	3805	1487
719	3810	1481
720	3815	1476
721	3820	1471
722	3825	1465
723	3830	1460
724	3835	1454
725	3839	1448
726	3843	1443
727	3847	1437
728	3852	1432
729	3856	1426
730	3860	1420
731	3865	1415
732	3869	1409
733	3873	1403
734	3877	1397
735	3881	1392
736	3885	1386
737	3889	1380
738	3893	1375
739	3898	1369
740	3903	1364
741	3908	1358
742	3912	1353
743	3916	1347
744	3920	1342
745	3924	1336
746	3928	1330
747	3932	1324
748	3936	1319
749	3941	1313
750	3945	1308
751	3950	1302
752	3954	1297
753	3959	1291
754	3963	1286
755	3967	1280
756	3971	1274
757	3975	1269
758	3980	1263
759	3985	1258
760	3989	1252
761	3993	1247
762	3998	1241
763	4002	1236
764	4007	1231
765	4011	1225
766	4015	1219
767	4020	1214
768	4024	1208
769	4028	1203
770	4033	1197
771	4036	1192
772	4041	1186
773	4045	1181
774	4049	1175
775	4053	1170
776	4058	1164
777	4062	1159
778	4066	1153
779	4070	1148
780	4074	1142
781	4078	1137
782	4083	1131
783	4087	1126
784	4092	1120
785	4096	1115
786	4100	1109
787	4105	1104
788	4109	1098
789	4113	1093
790	4117	1087
791	4121	1082
792	4125	1077
793	4130	1071
794	4134	1066
795	4138	1060
796	4143	1055
797	4148	1050
798	4152	1044
799	4156	1039
800	4161	1033
801	4165	1028
802	4169	1022
803	4174	1017
804	4178	1012
805	4183	1006
806	4187	1001
807	4191	996
808	4196	990
809	4200	985
810	4204	979
811	4209	974
812	4213	969
813	4217	963
814	4221	958
815	4226	953
816	4231	947
817	4235	942
818	4239	936
819	4244	931
820	4248	926
821	4252	920
822	4257	915
823	4261	910
824	4265	904
825	4269	899
826	4274	894
827	4278	888
828	4282	883
829	4286	877
830	4290	872
831	4294	867
832	4298	861
833	4302	856
834	4307	851
835	4311	845
836	4315	840
837	4320	835
838	4324	829
839	4328	824
840	4333	819
841	4336	813
842	4341	808
843	4345	803
844	4350	797
845	4354	792
846	4358	787
847	4363	782
848	4367	776
849	4372	771
850	4376	766
851	4381	761
852	4386	755
853	4390	750
854	4394	745
855	4399	740
856	4403	734
857	4408	729
858	4412	724
859	4415	718
860	4420	713
861	4424	708
862	4428	703
863	4433	697
864	4438	692
865	4443	687
866	4448	682
867	4454	677
868	4459	672
869	4464	667
870	4469	662
871	4474	656
872	4479	651
873	4484	646
874	4489	641
875	4495	636
876	4500	631
877	4504	625
878	4508	620
879	4513	615
880	4517	610
881	4523	605
882	4527	599
883	4532	594
884	4536	589
885	4541	584
886	4546	579
887	4550	573
888	4554	568
889	4558	563
890	4563	558
891	4567	552
892	4571	547
893	4575	542
894	4580	537
895	4584	532
896	4589	526
897	4593	521
898	4597	516
899	4602	511
900	4606	506
901	4610	500
902	4615	495
903	4620	490
904	4624	485
905	4628	480
906	4633	475
907	4637	469
908	4642	464
909	4646	459
910	4651	454
911	4655	449
912	4661	444
913	4666	439
914	4670	433
915	4675	428
916	4679	423
917	4684	418
918	4688	413
919	4693	408
920	4697	402
921	4701	397
922	4706	392
923	4711	387
924	4716	382
925	4720	377
926	4724	372
927	4729	366
928	4733	361
929	4738	356
930	4742	351
931	4747	346
932	4751	341
933	4756	336
934	4760	330
935	4764	325
936	4768	320
937	4772	315
938	4776	310
939	4781	305
940	4785	300
941	4790	294
942	4794	289
943	4798	284
944	4802	279
945	4806	274
946	4810	269
947	4814	264
948	4819	258
949	4823	253
950	4827	248
951	4832	243
952	4836	238
953	4841	233
954	4846	228
955	4851	223
956	4855	218
957	4860	213
958	4865	208
959	4870	202
960	4874	197
961	4879	192
962	4884	187
963	4889	182
964	4894	177
965	4898	172
966	4902	167
967	4907	162
968	4911	157
969	4915	152
970	4919	146
971	4924	141
972	4929	136
973	4933	131
974	4937	126
975	4941	121
976	4946	116
977	4950	111
978	4954	106
979	4958	101
980	4963	96
981	4967	91
982	4971	85
983	4976	80
984	4980	75
985	4984	70
986	4988	65
987	4992	60
988	4996	55
989	5000	50
990	5005	45
991	5010	40
992	5014	35
993	5018	30
994	5022	25
995	5026	20
996	5031	15
997	5035	10
998	5040	5
999	5045	0
